Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Syria,57478.0,0.0,3164.0,0.0,54314.0,0.0,0.0,0.0,2968.0,163.0,146269.0,7553.0,19364809.0,Asia,337.0,6120.0,132.0,0.0,0.0,0.0
Burundi,53631.0,0.0,38.0,0.0,53569.0,0.0,24.0,0.0,4248.0,3.0,345742.0,27386.0,12624840.0,Africa,235.0,332233.0,37.0,0.0,0.0,2.0
Seychelles,50665.0,0.0,172.0,0.0,50440.0,0.0,53.0,0.0,509575.0,1730.0,0.0,0.0,99426.0,Africa,2.0,578.0,0.0,0.0,0.0,533.0
Gabon,48981.0,0.0,306.0,0.0,48674.0,0.0,1.0,0.0,21008.0,131.0,1621909.0,695641.0,2331533.0,Africa,48.0,7619.0,1.0,0.0,0.0,0.4
Andorra,47890.0,0.0,165.0,0.0,47563.0,0.0,162.0,14.0,618231.0,2130.0,249838.0,3225256.0,77463.0,Europe,2.0,469.0,0.0,0.0,0.0,2091.0
Papua New Guinea,46825.0,0.0,670.0,0.0,43982.0,0.0,2173.0,7.0,5039.0,72.0,249149.0,26813.0,9292169.0,Australia/Oceania,198.0,13869.0,37.0,0.0,0.0,234.0
Curaçao,45986.0,0.0,295.0,0.0,44720.0,0.0,971.0,3.0,277812.0,1782.0,496693.0,3000640.0,165529.0,North America,4.0,561.0,0.0,0.0,0.0,5866.0
Aruba,44044.0,0.0,236.0,0.0,42438.0,0.0,1370.0,2.0,409297.0,2193.0,177885.0,1653068.0,107609.0,North America,2.0,456.0,1.0,0.0,0.0,12731.0
Tanzania,42906.0,0.0,846.0,0.0,0.0,0.0,0.0,7.0,678.0,13.0,0.0,0.0,63298550.0,Africa,1475.0,74821.0,0.0,0.0,0.0,662.0
Mayotte,42004.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,146734.0,657.0,176919.0,618038.0,286259.0,Africa,7.0,1523.0,2.0,0.0,0.0,135723.0
Mauritius,41769.0,0.0,1043.0,0.0,40052.0,0.0,674.0,0.0,32767.0,818.0,358675.0,281374.0,1274727.0,Africa,31.0,1222.0,4.0,0.0,0.0,529.0
Togo,39404.0,0.0,290.0,0.0,39081.0,0.0,33.0,0.0,4539.0,33.0,808904.0,93183.0,8680837.0,Africa,220.0,29934.0,11.0,0.0,0.0,4.0
Guinea,38267.0,0.0,467.0,0.0,37757.0,0.0,43.0,8.0,2760.0,34.0,660107.0,47607.0,13865691.0,Africa,362.0,29691.0,21.0,0.0,0.0,3.0
Isle of Man,38008.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,443335.0,1353.0,150753.0,1758422.0,85732.0,Europe,2.0,739.0,1.0,0.0,0.0,129450.0
